File Name,T/V,N,NB,P,Q,Time,Gflops
20170324_015001.out,WR11R2C4,44640,180,2,2,1996.04,2.971e+01
20170324_025001.out,WR11R2C4,44640,180,2,2,1954.48,3.034e+01
20170324_035001.out,WR11R2C4,44640,180,2,2,1858.46,3.191e+01
20170323_165001.out,WR11R2C4,44640,180,2,2,1999.96,2.965e+01
20170324_155001.out,WR11R2C4,44640,180,2,2,1917.14,3.094e+01
20170323_135001.out,WR11R2C4,44640,180,2,2,2051.52,2.891e+01
20170324_175001.out,WR11R2C4,44640,180,2,2,1866.44,3.178e+01
20170323_145001.out,WR11R2C4,44640,180,2,2,1984.96,2.988e+01
20170323_235001.out,WR11R2C4,44640,180,2,2,2389.32,2.482e+01
20170323_215002.out,WR11R2C4,44640,180,2,2,2673.76,2.218e+01
20170324_125001.out,WR11R2C4,44640,180,2,2,1879.23,3.156e+01
20170324_095001.out,WR11R2C4,44640,180,2,2,1917.72,3.093e+01
20170324_105001.out,WR11R2C4,44640,180,2,2,1887.01,3.143e+01
20170324_005001.out,WR11R2C4,44640,180,2,2,2141.15,2.770e+01
20170323_195001.out,WR11R2C4,44640,180,2,2,2182.66,2.717e+01
20170324_165001.out,WR11R2C4,44640,180,2,2,1854.13,3.199e+01
20170324_075001.out,WR11R2C4,44640,180,2,2,1984.23,2.989e+01
20170323_205001.out,WR11R2C4,44640,180,2,2,2765.91,2.144e+01
20170323_175001.out,WR11R2C4,44640,180,2,2,1978.66,2.997e+01
20170324_055001.out,WR11R2C4,44640,180,2,2,1847.36,3.210e+01
20170324_115001.out,WR11R2C4,44640,180,2,2,1868.33,3.174e+01
20170323_155001.out,WR11R2C4,44640,180,2,2,1927.13,3.077e+01
20170323_185001.out,WR11R2C4,44640,180,2,2,1958.90,3.028e+01
20170324_045001.out,WR11R2C4,44640,180,2,2,1859.49,3.189e+01
20170324_185001.out,WR11R2C4,44640,180,2,2,1890.60,3.137e+01
20170323_225001.out,WR11R2C4,44640,180,2,2,2598.26,2.283e+01
20170324_135001.out,WR11R2C4,44640,180,2,2,1886.01,3.145e+01
20170324_085001.out,WR11R2C4,44640,180,2,2,1874.32,3.164e+01
20170324_065001.out,WR11R2C4,44640,180,2,2,1855.18,3.197e+01
20170324_145001.out,WR11R2C4,44640,180,2,2,1879.43,3.156e+01
