File Name,Number of Hosts,Latency,0,1,2,4,8,16,32,64,128,256,512,1024,2048,4096,8192,16384,32768,65536,131072,262144,524288,1048576,2097152,4194304,8388608,16777216
20170322_154501.out,1,0.27,0.00,2.29,4.62,10.67,19.84,39.89,79.16,143.30,265.70,461.57,727.14,1080.74,1447.73,1642.67,2291.07,2548.75,3051.31,3882.00,4826.25,6596.50,6565.68,6134.12,6831.94,6130.28,4713.36,4478.11
20170323_020501.out,2,60.83,0.00,0.02,0.04,0.07,0.14,0.31,0.59,1.08,2.17,4.17,8.33,15.87,18.61,40.02,61.74,114.25,205.73,218.67,317.57,368.72,441.65,397.33,457.94,410.77,445.39,443.96
20170322_134501.out,1,0.43,0.00,2.25,4.39,8.14,18.21,32.96,62.61,125.34,213.60,369.41,548.99,789.74,1178.03,1234.80,1659.73,1940.40,2279.77,2828.70,4456.66,5572.27,6098.83,6352.37,6364.48,4228.20,3551.42,3708.50
20170323_040501.out,2,55.21,0.00,0.02,0.03,0.07,0.02,0.29,0.58,1.17,2.30,4.44,8.81,15.76,21.27,35.12,62.56,120.12,181.64,201.01,290.02,338.04,424.65,441.89,407.97,428.62,441.72,423.57
20170322_122501.out,1,0.28,0.00,2.83,5.43,9.22,20.96,37.77,69.28,130.28,238.86,434.45,797.20,1163.97,1443.02,1591.14,2119.19,2314.12,2800.06,3806.55,4690.86,5925.87,6431.40,6706.91,7576.19,6393.50,4748.69,4758.40
20170322_084501.out,1,0.20,0.00,3.53,7.34,14.39,29.24,59.84,110.01,194.68,396.44,676.13,1169.62,1653.95,2491.48,2600.63,3421.35,3581.69,4404.52,5206.38,6078.28,6517.04,6880.18,7447.84,7717.49,6884.69,5021.81,4742.19
20170322_194501.out,2,59.35,0.00,0.02,0.03,0.06,0.14,0.29,0.54,1.02,2.18,3.81,7.09,14.54,15.66,34.94,60.92,110.03,177.10,190.74,284.97,318.70,368.12,402.46,429.43,442.26,381.79,469.40
20170322_114501.out,1,0.32,0.00,2.50,4.94,9.87,19.54,39.34,75.25,138.57,251.91,461.05,715.46,1087.48,1532.50,1585.98,2306.31,2652.58,3534.27,3972.15,4904.95,5732.63,6323.43,6416.42,6843.13,4866.55,3788.61,4015.58
20170322_142501.out,1,0.25,0.00,3.11,6.26,11.88,22.74,45.21,92.75,148.15,303.68,541.37,885.24,1320.65,1708.80,1942.96,2579.65,2836.26,2864.49,3214.85,4400.49,5532.43,6253.36,6718.73,6336.19,4354.26,3790.01,4011.86
20170322_140501.out,1,0.34,0.00,2.00,4.02,7.87,15.79,31.02,60.55,110.87,197.99,370.48,553.89,723.67,1480.17,1493.19,2335.57,2721.14,3068.52,3903.45,4944.50,5498.19,5918.11,6595.92,6854.28,5308.17,4499.33,4205.77
20170322_150502.out,1,0.28,0.00,2.81,4.91,11.07,19.44,42.74,72.40,144.31,271.26,430.52,733.66,1077.89,1610.70,1654.11,2284.36,2843.52,3170.97,3841.19,4481.48,5646.92,5736.18,6286.30,6490.46,4012.05,3004.27,2992.91
20170322_144501.out,1,0.28,0.00,2.41,5.64,10.57,22.87,40.00,81.50,138.72,286.92,504.93,785.58,1187.94,1798.27,1865.42,2510.86,3059.78,3417.34,4176.53,5135.47,5682.21,5963.27,6181.75,6220.20,4258.91,3642.89,4126.15
20170323_000501.out,2,59.19,0.00,0.02,0.03,0.07,0.14,0.26,0.54,1.13,2.14,4.24,6.93,13.58,20.55,38.64,62.99,108.71,179.20,191.00,293.21,303.85,362.03,367.21,479.56,411.39,434.68,417.52
20170322_124501.out,1,0.27,0.00,2.77,5.64,10.85,21.59,42.98,81.82,137.97,278.03,498.78,737.49,1075.49,1500.09,1705.42,2297.09,2734.26,3068.38,4070.59,4883.96,5526.75,5903.85,6321.99,6383.82,5246.73,4330.23,4638.08
20170323_022501.out,2,43.85,0.00,0.02,0.04,0.08,0.17,0.35,0.72,1.33,2.73,5.00,8.80,15.90,19.17,40.54,74.20,131.05,213.42,227.86,291.35,361.44,382.30,457.10,447.62,416.98,391.60,425.68
20170322_220501.out,2,55.14,0.00,0.02,0.03,0.06,0.12,0.23,0.46,0.94,1.87,3.49,6.78,13.40,16.92,37.27,65.85,105.80,153.11,173.61,245.83,298.21,340.38,454.12,429.76,446.07,407.36,481.18
20170322_160501.out,1,0.23,0.00,1.83,6.58,13.07,24.42,45.15,77.36,164.74,311.44,578.53,897.46,1272.44,1775.47,1927.64,2607.67,3232.59,3603.75,4456.94,4983.16,5157.18,5781.92,5687.34,5702.01,4172.98,3291.47,3815.22
20170322_090501.out,1,0.28,0.00,3.02,5.50,10.38,21.38,40.05,86.81,151.43,269.76,512.38,835.24,1129.00,1773.93,1816.01,2501.28,2913.23,3242.39,4142.77,5071.93,5663.80,6384.27,6912.14,7392.39,5594.36,4512.55,4869.91
20170322_092501.out,1,0.28,0.00,2.67,5.13,10.53,22.31,42.55,84.54,160.80,284.21,471.24,754.61,1197.49,1841.73,1919.06,2381.91,3065.51,3387.35,3860.17,4617.32,5464.89,5932.86,6308.09,6424.77,3814.49,4155.08,3628.79
20170322_180501.out,1,0.26,0.00,2.31,3.74,9.88,19.94,30.64,63.86,133.26,244.16,382.37,628.80,947.71,1365.33,1535.74,1995.07,2392.44,2871.71,3467.03,5044.19,5695.92,5699.36,5704.94,6287.38,4009.34,3569.50,3735.23
20170322_172501.out,1,0.28,0.00,2.89,5.60,10.12,23.01,39.32,84.40,157.73,281.24,495.76,774.44,1159.03,1747.81,1764.76,2432.67,2973.10,3298.16,4009.39,4953.73,5634.25,5977.14,6387.71,6585.86,5055.62,3721.71,3549.55
20170322_182501.out,2,63.81,0.00,0.02,0.04,0.07,0.17,0.33,0.63,1.08,2.29,4.49,8.43,15.92,21.78,38.48,66.46,115.78,181.49,191.21,276.65,287.37,321.16,400.83,391.11,374.05,397.30,406.85
20170322_164501.out,1,0.28,0.00,2.57,5.23,10.87,21.87,41.57,77.76,140.97,273.72,488.32,754.61,1097.24,1577.66,1739.19,2394.97,2877.79,2951.44,3960.45,4977.48,5000.79,5732.86,5971.13,6269.96,4447.94,3290.77,2920.69
20170322_222501.out,2,53.80,0.00,0.02,0.03,0.07,0.14,0.30,0.60,1.16,2.35,3.68,7.99,16.19,21.81,39.78,79.46,108.41,170.33,189.90,283.65,337.23,357.51,452.82,405.74,410.08,408.78,408.44
20170323_014501.out,2,50.98,0.00,0.02,0.03,0.07,0.15,0.30,0.62,1.22,2.36,4.54,9.04,15.97,21.31,40.64,69.85,116.56,176.21,193.33,279.70,316.81,370.93,395.55,460.84,413.91,430.15,414.31
