File Name,T/V,N,NB,P,Q,Time,Gflops,CPU time (sec.),Max Memory (MB),Average Memory (MB),Total Requested Memory (MB),Delta Memory (MB),Max Swap (MB),Max Processes,Max Threads,Protocols Seen,Number of Hosts,Hosts Used,Host Groups,Start Time,Exclusive
4099233.out,WR11R2C4,44640,180,2,2,317.35,1.869e+02,1344.09,15568.48,14168.23,-,-,24588,11,13,SHM,1,4*host347.jc.rl.ac.uk,broadwell256G,Thu Mar 23 11:31:51 2017,1
4099193.out,WR11R2C4,44640,180,2,2,789.69,7.510e+01,3271.49,15572.38,14939.76,-,-,24539,11,13,SHM,1,4*host208.jc.rl.ac.uk,ivybridge512G,Fri Mar 24 10:03:45 2017,1
4099213.out,WR11R2C4,44640,180,2,2,454.32,1.305e+02,1922.07,15573.84,14589.29,-,-,24605,11,13,SHM,1,4*host283.jc.rl.ac.uk,haswell256G,Thu Mar 23 11:31:49 2017,1
4099197.out,WR11R2C4,44640,180,2,2,788.75,7.519e+01,3267.68,15568.99,14980.76,-,-,18400,11,13,SHM,1,4*host205.jc.rl.ac.uk,ivybridge512G,Fri Mar 24 10:39:42 2017,1
4099234.out,WR11R2C4,44640,180,2,2,321.54,1.844e+02,1360.58,15569.48,14296.58,-,-,24589,11,13,SHM,1,4*host347.jc.rl.ac.uk,broadwell256G,Thu Mar 23 11:37:38 2017,1
4099188.out,WR11R2C4,44640,180,2,2,791.73,7.491e+01,1643.28,7795.86,7498.80,-,-,10593,11,13,SHM-TCP,2,2*host205.jc.rl.ac.uk-2*host208.jc.rl.ac.uk,ivybridge512G-ivybridge512G,Fri Mar 24 12:50:56 2017,1
4099218.out,WR11R2C4,44640,180,2,2,782.29,7.581e+01,1620.11,7791.51,7343.25,-,-,16729,11,13,SHM-TCP,2,2*host175.jc.rl.ac.uk-2*host094.jc.rl.ac.uk,ivybridge128G-ivybridge128G,Thu Mar 23 11:31:32 2017,1
5153809.out,WR11R2C4,44640,180,2,2,455.82,1.301e+02,963.96,7794.98,7293.95,-,-,16761,11,13,SHM-TCP,2,2*host279.jc.rl.ac.uk-2*host289.jc.rl.ac.uk,haswell256G-haswell256G,Wed Apr  5 08:41:36 2017,1
4099223.out,WR11R2C4,44640,180,2,2,787.59,7.530e+01,3258.43,15561.02,14969.13,-,-,24538,11,13,SHM,1,4*host185.jc.rl.ac.uk,ivybridge128G,Thu Mar 23 11:31:39 2017,1
5153810.out,WR11R2C4,44640,180,2,2,462.08,1.283e+02,977.09,7789.69,7302.39,-,-,16760,11,13,SHM-TCP,2,2*host281.jc.rl.ac.uk-2*host279.jc.rl.ac.uk,haswell256G-haswell256G,Wed Apr  5 08:49:50 2017,1
