File Name,Latency,CPU time (sec.),Max Memory (MB),Average Memory (MB),Total Requested Memory (MB),Delta Memory (MB),Max Swap (MB),Max Processes,Max Threads,Protocols Seen,Number of Hosts,Hosts Used,Host Groups,Exclusive,0,1,2,4,8,16,32,64,128,256,512,1024,2048,4096,8192,16384,32768,65536,131072,262144,524288,1048576,2097152,4194304,8388608,16777216
4003846.out,0.14,69.73,91.01,45.95,-,-,8700,9,11,SHM,1,2*host231.jc.rl.ac.uk,ivybridge128G,1,0.00,6.02,12.55,25.10,48.93,99.77,197.53,310.68,465.03,876.71,1484.06,2179.88,2251.48,3268.95,3767.74,4149.56,5911.33,7425.02,8116.10,8705.78,8930.89,3982.87,4000.04,4000.04,3976.37,3345.26
4003816.out,0.41,68.94,87.72,43.23,-,-,2553,9,11,SHM,1,2*host205.jc.rl.ac.uk,ivybridge512G,1,0.00,2.34,4.70,9.34,18.39,38.19,74.90,98.92,159.38,315.42,512.38,584.60,1269.09,1756.81,2059.71,2225.97,2945.74,3447.13,3750.20,4008.66,4094.94,4152.97,4176.53,4181.66,4077.22,3500.67
4003847.out,0.32,64.59,90.93,44.59,-,-,8700,9,11,SHM,1,2*host231.jc.rl.ac.uk,ivybridge128G,1,0.00,2.71,5.80,11.59,22.91,45.49,92.89,99.32,174.62,338.18,592.25,642.46,1242.06,1860.97,2103.55,2284.72,3038.22,3584.34,3887.00,4102.76,4196.97,4248.09,4270.18,4285.80,4232.18,3849.51
4003811.out,9.10,112.41,58.16,45.64,-,-,8791,10,12,SHM-TCP,2,1*host208.jc.rl.ac.uk-1*host205.jc.rl.ac.uk,ivybridge512G-ivybridge512G,1,0.00,0.10,0.20,0.40,0.77,1.49,2.98,5.93,11.52,22.60,43.42,80.03,137.92,224.52,320.65,463.20,468.28,625.24,809.46,956.08,1058.85,1114.53,1143.10,1162.78,1169.06,1173.26
4003848.out,0.32,64.52,90.95,44.61,-,-,8700,9,11,SHM,1,2*host231.jc.rl.ac.uk,ivybridge128G,1,0.00,2.88,5.84,11.73,23.22,45.41,96.42,106.25,186.79,358.23,614.55,620.84,1252.41,1861.92,2103.28,2330.71,3063.90,3602.83,3877.17,4113.02,4203.77,4250.59,4274.49,4289.51,4250.86,3847.80
4003858.out,0.30,64.96,91.06,44.72,-,-,8701,9,11,SHM,1,2*host306.jc.rl.ac.uk,broadwell256G,1,0.00,3.40,6.85,13.77,27.06,52.44,105.79,100.89,175.88,344.14,613.82,948.15,1327.28,1756.06,2185.92,2549.15,3218.66,3681.90,3970.59,4149.45,4217.17,4288.69,4312.68,4317.91,4323.60,3744.77
4003849.out,0.32,64.55,90.94,44.59,-,-,8700,9,11,SHM,1,2*host231.jc.rl.ac.uk,ivybridge128G,1,0.00,2.91,5.77,11.30,23.02,46.87,92.35,110.68,195.94,373.31,639.10,639.75,1231.05,1903.68,2077.21,2322.08,3054.76,3610.53,3899.18,4105.57,4194.60,4246.34,4268.44,4284.64,4243.57,3849.23
4003812.out,10.95,112.96,58.66,46.16,-,-,2647,10,12,SHM-TCP,2,1*host205.jc.rl.ac.uk-1*host208.jc.rl.ac.uk,ivybridge512G-ivybridge512G,1,0.00,0.09,0.17,0.34,0.65,1.28,2.53,5.07,9.82,19.34,36.96,67.09,117.45,200.35,298.06,432.78,437.25,606.61,796.26,949.38,1050.17,1110.95,1143.11,1161.69,1167.69,1172.47
4003850.out,0.31,64.50,90.94,44.60,-,-,8700,9,11,SHM,1,2*host231.jc.rl.ac.uk,ivybridge128G,1,0.00,2.94,5.89,11.67,23.43,48.21,95.20,112.40,189.70,365.71,624.87,666.12,1260.11,1903.12,2088.33,2325.99,3045.95,3608.86,3891.90,4110.63,4194.35,4246.07,4269.57,4283.16,4253.66,3850.56
4003856.out,0.14,61.27,57.95,40.73,-,-,8633,9,11,SHM,1,2*host338.jc.rl.ac.uk,broadwell256G,1,0.00,6.40,12.84,25.42,51.20,101.99,190.76,404.10,496.36,933.88,1678.00,2450.49,2774.13,3912.13,4605.16,5170.49,7166.52,9059.28,9776.39,10767.93,11115.45,11246.44,11469.57,4211.37,4214.12,3666.41
4003841.out,11.26,112.83,55.45,38.22,-,-,2642,10,12,SHM-TCP,2,1*host060.jc.rl.ac.uk-1*host166.jc.rl.ac.uk,ivybridge128G-ivybridge128G,1,0.00,0.08,0.17,0.33,0.63,1.23,2.46,4.88,9.50,18.65,35.39,64.01,107.44,168.18,243.32,371.22,375.18,562.18,750.05,922.74,1036.50,1102.14,1141.47,1158.94,1166.89,1172.94
5153803.out,9.15,118.72,52.85,33.85,-,-,8784,10,12,SHM-TCP,2,1*host279.jc.rl.ac.uk-1*host281.jc.rl.ac.uk,haswell256G-haswell256G,1,0.00,0.11,0.21,0.43,0.83,1.64,3.28,6.53,12.76,24.89,47.67,87.55,150.12,238.21,337.83,481.60,463.05,19.37,747.32,915.63,1034.75,1101.49,1139.58,1158.61,1167.55,1171.62
4003842.out,12.08,113.09,52.86,40.34,-,-,8785,10,12,SHM-TCP,2,1*host166.jc.rl.ac.uk-1*host060.jc.rl.ac.uk,ivybridge128G-ivybridge128G,1,0.00,0.08,0.16,0.31,0.59,1.15,2.29,4.57,8.91,17.43,33.27,60.27,101.30,159.71,233.77,360.49,375.18,560.92,750.14,916.03,1027.80,1099.53,1138.68,1158.69,1167.00,1172.10
