File Name,Latency,CPU time (sec.),Max Memory (MB),Average Memory (MB),Total Requested Memory (MB),Delta Memory (MB),Max Swap (MB),Max Processes,Max Threads,Protocols Seen,Number of Hosts,Hosts Used,Host Groups,Exclusive,CPUs,0,1,2,4,8,16,32,64,128,256,512,1024,2048,4096,8192,16384,32768,65536,131072,262144,524288,1048576,2097152,4194304,8388608,16777216
4560681.out,0.33,93.08,104.02,68.32,-,-,2578,9,11,SHM,1,2*host073.jc.rl.ac.uk,ivybridge128G,1,2,0.00,2.99,5.90,11.77,23.26,47.67,93.19,117.49,195.76,375.64,642.51,1039.99,1254.81,1722.00,2130.84,2348.20,3028.85,3625.71,3911.94,4129.50,4208.20,4258.59,4283.49,4299.30,2297.53,2613.06
5153700.out,0.20,39.96,21.46,21.46,-,-,8631,9,11,SHM,1,2*host289.jc.rl.ac.uk,haswell256G,1,1,0.00,4.50,9.35,18.66,37.30,73.73,142.22,285.87,351.77,667.97,1211.48,1618.01,1930.94,2708.10,3150.16,3508.07,4808.83,5718.99,6401.88,6909.50,7057.22,7211.94,7274.20,7292.54,7334.57,6014.71
4560682.out,0.13,104.06,91.03,60.02,-,-,8701,9,11,SHM,1,2*host250.jc.rl.ac.uk,ivybridge128G,1,1,0.00,6.36,14.13,27.73,56.49,112.58,220.31,299.94,493.02,922.94,1565.15,2060.36,2375.87,3271.57,3788.87,4216.02,6073.91,7355.54,8047.89,8642.45,8865.18,9021.65,9137.84,8660.14,1715.86,2196.39
4560683.out,0.31,85.35,104.03,56.77,-,-,2578,9,11,SHM,1,2*host069.jc.rl.ac.uk,ivybridge128G,1,2,0.00,2.97,5.82,11.92,23.85,46.66,96.57,124.30,190.16,392.19,665.26,1055.81,1244.89,1693.96,2131.04,2324.10,3046.56,2806.65,3908.64,4134.32,4217.61,4271.15,4294.96,4285.00,2807.10,2767.56
5153699.out,0.39,59.36,31.18,31.18,-,-,8650,9,11,SHM,1,2*host281.jc.rl.ac.uk,haswell256G,1,2,0.00,2.57,5.11,10.19,19.74,40.53,82.47,87.19,129.44,287.04,477.11,931.33,978.79,1272.99,1731.47,2047.01,2616.94,3049.91,3232.77,3365.03,3419.08,3450.86,3472.48,3478.29,4980.57,4713.43
4560684.out,0.13,90.68,87.73,56.23,-,-,2553,9,11,SHM,1,2*host073.jc.rl.ac.uk,ivybridge128G,1,1,0.00,6.64,13.77,27.54,54.89,109.78,211.22,332.68,482.56,889.27,1562.76,2114.06,2399.53,3267.65,3768.60,4163.92,6086.18,7142.50,8068.95,8684.04,8881.08,9032.94,9053.32,7765.90,2841.29,2092.44
5153702.out,0.21,39.44,25.46,25.46,-,-,8633,9,11,SHM,1,2*host289.jc.rl.ac.uk,haswell256G,1,1,0.00,4.43,9.06,18.08,36.16,72.15,143.34,232.09,348.30,657.25,1154.45,1702.76,1925.26,2636.63,3310.40,3591.60,4885.92,5883.47,6659.36,7113.69,7276.54,7450.87,7523.22,7488.93,7168.37,6137.00
4560686.out,0.14,76.21,87.77,45.76,-,-,2553,9,11,SHM,1,2*host069.jc.rl.ac.uk,ivybridge128G,1,1,0.00,6.60,12.84,26.67,52.98,102.73,204.80,336.40,467.79,881.62,1523.24,2060.36,2344.59,3227.10,3776.86,4085.53,6020.62,7108.32,7996.95,8556.52,8584.79,9028.28,9128.81,8511.31,2850.47,2840.04
5153704.out,0.19,37.91,23.45,23.45,-,-,8633,9,11,SHM,1,2*host279.jc.rl.ac.uk,haswell256G,1,1,0.00,4.82,9.68,18.97,38.14,77.29,155.25,294.93,378.42,703.54,1239.33,1872.46,1997.07,2842.96,3318.78,3649.91,4976.16,5888.43,6899.57,7457.34,7692.67,7847.84,7941.71,7971.05,7499.79,6336.26
4560685.out,0.33,92.92,101.52,67.10,-,-,8720,9,11,SHM,1,2*host250.jc.rl.ac.uk,ivybridge128G,1,2,0.00,2.92,5.75,11.54,22.57,46.03,92.32,107.18,183.68,358.48,613.82,1201.88,1234.20,1666.48,2054.03,2362.93,3042.70,3625.48,3923.72,4135.55,4217.82,4269.44,4292.28,4305.48,2338.14,2598.04
4560687.out,0.31,93.33,104.02,68.58,-,-,2578,9,11,SHM,1,2*host073.jc.rl.ac.uk,ivybridge128G,1,2,0.00,2.83,5.73,11.51,22.88,42.98,90.84,114.82,208.64,384.82,621.55,1091.68,1249.64,1692.04,2129.38,2340.49,3032.53,3625.41,3901.62,4123.57,4205.47,4261.97,4283.53,4297.90,2267.09,2581.06
5153703.out,0.33,58.76,32.16,32.16,-,-,8651,9,11,SHM,1,2*host281.jc.rl.ac.uk,haswell256G,1,2,0.00,2.78,5.57,11.18,22.18,44.03,90.01,87.00,143.12,309.83,460.85,996.47,1059.49,1464.69,1832.87,2025.81,2608.50,3037.80,3250.21,3387.76,3425.78,3457.48,3479.97,3485.99,4984.57,4859.62
4560688.out,0.14,75.83,87.77,45.75,-,-,2553,9,11,SHM,1,2*host069.jc.rl.ac.uk,ivybridge128G,1,1,0.00,6.07,12.15,21.26,49.04,97.49,189.49,377.86,461.47,868.90,1488.91,2211.66,2381.74,3271.57,3869.63,4171.61,6117.28,7256.88,8162.98,8712.00,8868.39,9074.53,9176.50,8664.13,2856.24,2846.05
5153705.out,0.32,59.08,32.75,32.75,-,-,8651,9,11,SHM,1,2*host289.jc.rl.ac.uk,haswell256G,1,2,0.00,2.93,5.81,11.65,21.83,46.23,93.02,94.26,146.10,304.81,475.17,1032.39,1070.22,1494.62,1810.74,2023.47,2646.96,3056.24,3247.89,3384.33,3433.18,3449.07,3476.57,3482.88,5000.20,4814.71
4560689.out,0.32,92.35,101.51,67.10,-,-,8720,9,11,SHM,1,2*host250.jc.rl.ac.uk,ivybridge128G,1,2,0.00,2.89,5.42,11.76,23.37,46.16,93.60,121.33,193.17,374.75,646.26,1247.26,1221.77,1673.63,2085.27,2320.68,3054.90,3625.08,3909.85,4120.18,4211.20,4262.82,4287.91,4300.29,2648.55,2466.53
5153706.out,0.17,38.51,23.45,23.45,-,-,8633,9,11,SHM,1,2*host279.jc.rl.ac.uk,haswell256G,1,1,0.00,5.19,10.34,21.01,41.80,83.66,166.34,233.05,408.29,747.72,1320.01,1773.93,2019.72,2764.53,3298.40,3643.42,4899.70,5766.48,6497.92,7189.29,7447.74,7627.89,7710.50,7684.19,7314.04,6303.56
4560690.out,0.13,89.08,87.75,48.41,-,-,2553,9,11,SHM,1,2*host073.jc.rl.ac.uk,ivybridge128G,1,1,0.00,6.91,13.93,27.35,55.46,108.20,218.80,363.12,487.39,905.79,1590.68,2162.62,2380.36,3323.33,3770.55,4182.39,5931.40,6730.87,7158.39,8568.83,8948.46,9050.97,9079.68,7805.51,2838.80,2226.12
5153707.out,0.32,58.86,32.15,32.15,-,-,8651,9,11,SHM,1,2*host281.jc.rl.ac.uk,haswell256G,1,2,0.00,2.86,5.65,11.37,22.51,45.34,85.11,98.37,155.41,314.21,503.13,1056.90,1061.21,1406.65,1751.64,2034.11,2634.45,3049.23,3237.75,3376.89,3433.06,3449.48,3474.25,3484.22,5043.61,4834.54
4560691.out,0.25,48.98,31.73,31.73,-,-,8650,9,11,SHM,1,2*host335.jc.rl.ac.uk,broadwell256G,1,2,0.00,3.70,7.36,14.84,29.92,59.15,120.13,113.45,192.12,342.42,622.02,1309.25,1344.16,1822.77,2200.67,2415.01,3149.90,3628.87,3983.36,4150.66,4227.56,4280.88,4303.89,4309.38,5955.45,5762.09
5153708.out,0.20,38.92,23.46,23.46,-,-,8633,9,11,SHM,1,2*host289.jc.rl.ac.uk,haswell256G,1,1,0.00,4.61,9.07,18.17,30.16,73.73,147.72,237.92,323.33,667.97,1182.11,1653.95,1908.22,2586.06,3164.31,3479.20,4790.73,5712.94,6498.40,6925.98,7251.94,7587.66,7669.48,7879.64,7782.64,6013.87
4560692.out,0.12,27.02,29.04,29.04,-,-,8639,9,11,SHM,1,2*host335.jc.rl.ac.uk,broadwell256G,1,1,0.00,7.42,15.25,30.05,56.49,112.28,244.98,346.65,586.82,1052.42,1825.31,2747.15,2760.57,4016.67,4678.14,5187.68,7167.50,8612.39,9754.20,10578.91,11050.35,11269.38,11310.00,11466.72,10417.75,8964.46
4560693.out,0.35,49.07,32.80,32.80,-,-,8651,9,11,SHM,1,2*host335.jc.rl.ac.uk,broadwell256G,1,2,0.00,2.75,5.20,11.01,21.90,43.29,88.22,115.26,191.33,371.89,637.41,1248.02,1334.53,1725.81,2306.31,2465.47,3163.62,3677.02,3953.27,4136.19,4235.55,4282.92,4313.63,4320.15,5951.71,5730.16
4560694.out,0.15,27.04,29.06,29.06,-,-,8639,9,11,SHM,1,2*host335.jc.rl.ac.uk,broadwell256G,1,1,0.00,6.88,12.88,23.76,54.89,101.11,221.07,341.11,491.13,909.01,1734.12,2513.65,2758.71,4073.09,4665.48,5190.15,7160.84,8610.70,9909.99,10598.15,11151.00,11317.27,11401.60,11464.68,10401.32,8936.93
4560695.out,0.35,48.95,32.80,32.80,-,-,8651,9,11,SHM,1,2*host335.jc.rl.ac.uk,broadwell256G,1,2,0.00,2.58,5.38,10.78,22.25,43.29,89.76,112.83,192.23,390.32,630.93,1226.90,1284.11,1828.37,2148.93,2463.34,3151.79,3681.67,3964.91,4131.82,4225.77,4284.51,4307.74,4316.08,5965.29,5762.26
4560696.out,0.14,27.11,29.04,29.04,-,-,8639,9,11,SHM,1,2*host335.jc.rl.ac.uk,broadwell256G,1,1,0.00,6.67,13.33,24.69,53.16,106.31,213.51,314.69,499.27,886.20,1695.36,2671.89,2812.22,3890.30,4543.54,5168.86,7181.44,8615.36,9780.12,10879.49,11108.53,11294.00,11365.12,11315.18,10272.30,8987.22
4560697.out,0.29,49.12,32.79,32.79,-,-,8651,9,11,SHM,1,2*host335.jc.rl.ac.uk,broadwell256G,1,2,0.00,3.27,6.78,13.50,26.81,51.04,106.89,119.79,193.90,355.37,647.18,1268.31,1343.28,1632.36,2143.94,2476.23,3158.97,3674.96,3983.24,4154.73,4231.53,4285.75,4308.10,4319.95,5917.74,5732.97
4560698.out,0.14,27.10,29.05,29.05,-,-,8639,9,11,SHM,1,2*host335.jc.rl.ac.uk,broadwell256G,1,1,0.00,5.27,12.72,23.70,47.41,101.03,202.85,255.49,430.61,879.73,1528.36,2408.70,2603.94,3920.09,4583.58,5096.11,7141.14,8671.51,9876.67,10778.61,11134.13,11374.89,11479.54,11465.16,10283.14,8914.22
4560699.out,0.28,50.20,32.79,32.79,-,-,8651,9,11,SHM,1,2*host335.jc.rl.ac.uk,broadwell256G,1,2,0.00,3.44,6.87,13.75,27.11,53.92,111.60,117.95,189.42,361.14,630.44,1265.96,1361.02,1832.56,2222.01,2474.64,3176.46,3673.23,3951.57,4139.63,3546.80,3585.40,4109.53,4115.43,5810.72,5513.92
4560700.out,0.16,27.14,29.05,29.05,-,-,8639,9,11,SHM,1,2*host335.jc.rl.ac.uk,broadwell256G,1,1,0.00,6.74,13.43,26.87,53.74,94.74,203.50,290.58,491.13,909.41,1710.23,2396.72,2752.69,3900.49,4607.75,5087.80,7103.02,8350.13,9163.95,10967.57,11203.48,11438.44,11564.00,11494.90,10314.55,8835.62
