File Name,T/V,N,NB,P,Q,Time,Gflops,CPU time (sec.),Max Memory (MB),Average Memory (MB),Total Requested Memory (MB),Delta Memory (MB),Max Swap (MB),Max Processes,Max Threads,Run time (sec.),Turnaround time (sec.),Protocols Seen,Number of Hosts,Hosts Used,Host Groups,Start Time,Exclusive
482673.out,WR11R2C4,44640,180,2,2,447.67,1.325e+02,1898.16,15576.47,13533.07,-,-,16549,12,14,489,481,SHM,1,4*cn528.scarf.rl.ac.uk,scarf15,Thu Mar 23 11:31:26 2017,1
482643.out,WR11R2C4,44640,180,2,2,923.73,6.420e+01,3823.86,15686.45,14646.55,-,-,22667,12,18,965,965,SHM,1,4*cn404.scarf.rl.ac.uk,scarf13,Thu Mar 23 11:31:27 2017,1
482674.out,WR11R2C4,44640,180,2,2,449.28,1.320e+02,1904.19,15577.98,13540.05,-,-,16556,12,14,488,986,SHM,1,4*cn528.scarf.rl.ac.uk,scarf15,Thu Mar 23 11:39:47 2017,1
482633.out,WR11R2C4,44640,180,2,2,990.70,5.986e+01,4094.37,15557.75,14399.43,-,-,16406,13,15,1043,1038,SHM-TCP,2,2*cn433.scarf.rl.ac.uk-2*cn434.scarf.rl.ac.uk,scarf13-scarf13,Thu Mar 23 11:31:31 2017,1
482618.out,WR11R2C4,44640,180,2,2,1385.17,4.282e+01,5645.28,15539.18,14418.28,-,-,16393,13,15,1432,1424,SHM-TCP,2,2*cn380.scarf.rl.ac.uk-2*cn375.scarf.rl.ac.uk,scarf12-scarf12,Thu Mar 23 11:31:27 2017,1
482620.out,WR11R2C4,44640,180,2,2,1385.29,4.281e+01,5647.14,15541.45,14721.71,-,-,16393,13,15,1428,1424,SHM-TCP,2,2*cn376.scarf.rl.ac.uk-2*cn374.scarf.rl.ac.uk,scarf12-scarf12,Thu Mar 23 11:31:27 2017,1
482619.out,WR11R2C4,44640,180,2,2,1386.44,4.278e+01,5651.31,15540.59,14364.33,-,-,16393,13,15,1420,1425,SHM-TCP,2,2*cn365.scarf.rl.ac.uk-2*cn379.scarf.rl.ac.uk,scarf12-scarf12,Thu Mar 23 11:31:28 2017,1
482675.out,WR11R2C4,44640,180,2,2,449.43,1.320e+02,1899.04,15566.67,13461.61,-,-,16547,12,14,487,1513,SHM,1,4*cn528.scarf.rl.ac.uk,scarf15,Thu Mar 23 11:48:35 2017,1
482598.out,WR11R2C4,44640,180,2,2,1665.30,3.561e+01,6803.00,15547.04,14944.26,-,-,16451,12,14,1714,1701,SHM,1,4*cn055.scarf.rl.ac.uk,scarf10,Thu Mar 23 11:31:20 2017,1
482589.out,WR11R2C4,44640,180,2,2,1734.23,3.420e+01,7076.00,15542.13,14619.25,-,-,16394,13,15,1783,1778,SHM-TCP,2,2*cn056.scarf.rl.ac.uk-2*cn054.scarf.rl.ac.uk,scarf10-scarf10,Thu Mar 23 11:31:20 2017,1
482588.out,WR11R2C4,44640,180,2,2,1735.76,3.417e+01,7080.78,15540.03,14843.76,-,-,16394,13,15,1785,1778,SHM-TCP,2,2*cn065.scarf.rl.ac.uk-2*cn071.scarf.rl.ac.uk,scarf10-scarf10,Thu Mar 23 11:31:20 2017,1
482592.out,WR11R2C4,44640,180,2,2,1741.68,3.405e+01,7102.00,15539.38,14601.67,-,-,16394,13,15,1790,1778,SHM-TCP,2,2*cn057.scarf.rl.ac.uk-2*cn059.scarf.rl.ac.uk,scarf10-scarf10,Thu Mar 23 11:31:20 2017,1
482591.out,WR11R2C4,44640,180,2,2,1743.36,3.402e+01,7110.00,15544.20,14631.90,-,-,16394,13,15,1787,1779,SHM-TCP,2,2*cn049.scarf.rl.ac.uk-2*cn051.scarf.rl.ac.uk,scarf10-scarf10,Thu Mar 23 11:31:20 2017,1
482590.out,WR11R2C4,44640,180,2,2,1749.81,3.389e+01,7166.00,15540.88,14857.58,-,-,16394,13,15,1804,1794,SHM-TCP,2,2*cn079.scarf.rl.ac.uk-2*cn064.scarf.rl.ac.uk,scarf10-scarf10,Thu Mar 23 11:31:20 2017,1
482658.out,WR11R2C4,44640,180,2,2,784.35,7.561e+01,3249.00,15573.19,14378.38,-,-,16476,12,14,821,1838,SHM,1,4*cn310.scarf.rl.ac.uk,scarf14,Thu Mar 23 11:48:23 2017,1
482659.out,WR11R2C4,44640,180,2,2,788.18,7.524e+01,3266.30,15568.25,14365.87,-,-,16476,12,14,826,1855,SHM,1,4*cn280.scarf.rl.ac.uk,scarf14,Thu Mar 23 11:48:38 2017,1
482648.out,WR11R2C4,44640,180,2,2,837.40,7.082e+01,3455.38,15556.54,14260.10,-,-,16405,13,15,868,1890,SHM-TCP,2,2*cn276.scarf.rl.ac.uk-2*cn299.scarf.rl.ac.uk,scarf14-scarf14,Thu Mar 23 11:48:23 2017,1
482650.out,WR11R2C4,44640,180,2,2,838.55,7.072e+01,3464.43,15556.10,14211.78,-,-,16406,13,15,877,1906,SHM-TCP,2,2*cn290.scarf.rl.ac.uk-2*cn260.scarf.rl.ac.uk,scarf14-scarf14,Thu Mar 23 11:48:36 2017,1
482649.out,WR11R2C4,44640,180,2,2,837.15,7.084e+01,3454.67,15554.15,14228.87,-,-,16405,13,15,874,1906,SHM-TCP,2,2*cn309.scarf.rl.ac.uk-2*cn288.scarf.rl.ac.uk,scarf14-scarf14,Thu Mar 23 11:48:36 2017,1
482652.out,WR11R2C4,44640,180,2,2,834.22,7.109e+01,3441.00,15554.50,13723.54,-,-,16405,13,15,868,1923,SHM-TCP,2,2*cn297.scarf.rl.ac.uk-2*cn275.scarf.rl.ac.uk,scarf14-scarf14,Thu Mar 23 11:48:53 2017,1
