File Name,Latency,CPU time (sec.),Max Memory (MB),Average Memory (MB),Total Requested Memory (MB),Delta Memory (MB),Max Swap (MB),Max Processes,Max Threads,Run time (sec.),Turnaround time (sec.),Protocols Seen,Number of Hosts,Hosts Used,Host Groups,Exclusive,0,1,2,4,8,16,32,64,128,256,512,1024,2048,4096,8192,16384,32768,65536,131072,262144,524288,1048576,2097152,4194304,8388608,16777216
480357.out,0.23,56.00,13.46,13.46,-,-,563,7,9,38,773,SHM,1,2*cn207.scarf.rl.ac.uk,scarf16,1,0.00,3.98,7.96,15.96,31.86,63.71,126.61,261.36,311.81,597.61,1037.75,1576.29,1620.25,2071.30,2525.47,2615.95,3772.56,4978.71,5316.78,5379.52,5590.71,5744.63,5790.18,5819.66,5796.14,3922.48
480287.out,84.74,2713.31,93.29,69.16,-,-,712,11,13,1362,1375,SHM-TCP,2,1*cn365.scarf.rl.ac.uk-1*cn369.scarf.rl.ac.uk,scarf12-scarf12,1,0.00,0.01,0.02,0.05,0.09,0.18,0.36,0.72,1.40,2.73,5.50,9.31,16.75,30.82,47.02,56.06,42.36,57.90,75.64,85.24,95.33,100.86,103.29,102.78,99.06,92.40
480347.out,17.54,1262.62,93.68,73.72,-,-,712,11,13,632,1376,SHM-TCP,2,1*cn217.scarf.rl.ac.uk-1*cn204.scarf.rl.ac.uk,scarf16-scarf16,1,0.00,0.06,0.13,0.25,0.51,1.03,1.95,3.59,6.84,13.45,25.83,50.06,78.67,138.41,233.54,373.86,372.99,506.56,712.55,859.15,935.82,951.98,819.06,493.81,264.69,140.25
480334.out,9.86,1309.85,93.62,72.20,-,-,712,11,13,672,5065,SHM-TCP,2,1*cn481.scarf.rl.ac.uk-1*cn476.scarf.rl.ac.uk,scarf15-scarf15,1,0.00,0.10,0.20,0.41,0.80,1.59,3.16,6.27,12.29,23.93,45.84,84.52,125.28,197.75,321.27,459.93,465.11,634.98,812.95,584.27,640.18,728.23,817.95,465.28,259.80,133.94
480349.out,15.31,1284.91,93.56,75.68,-,-,712,11,13,645,1442,SHM-TCP,2,1*cn201.scarf.rl.ac.uk-1*cn215.scarf.rl.ac.uk,scarf16-scarf16,1,0.00,0.06,0.13,0.23,0.43,0.93,1.99,4.09,7.92,15.18,28.90,56.03,89.48,141.63,244.81,347.31,324.57,499.59,683.18,846.53,916.00,933.62,786.25,518.10,265.48,136.63
480333.out,9.63,1362.08,93.43,70.56,-,-,712,11,13,683,4369,SHM-TCP,2,1*cn481.scarf.rl.ac.uk-1*cn476.scarf.rl.ac.uk,scarf15-scarf15,1,0.00,0.10,0.21,0.41,0.80,1.60,3.21,6.32,12.35,24.19,45.75,82.94,122.01,196.45,322.93,454.51,465.82,638.45,814.91,592.91,659.58,787.22,798.56,497.58,248.48,128.48
480348.out,17.44,1292.67,93.54,70.96,-,-,712,11,13,649,1444,SHM-TCP,2,1*cn207.scarf.rl.ac.uk-1*cn213.scarf.rl.ac.uk,scarf16-scarf16,1,0.00,0.06,0.13,0.25,0.52,0.97,1.80,3.48,6.84,13.58,26.49,51.11,77.91,134.45,221.94,346.94,338.61,500.60,687.76,843.73,922.85,938.76,796.55,493.26,262.62,135.62
480352.out,1.48,48.00,13.57,13.57,-,-,563,7,9,34,1510,SHM-IBV,2,1*cn215.scarf.rl.ac.uk-1*cn207.scarf.rl.ac.uk,scarf16-scarf16,1,0.00,0.63,1.27,2.50,5.04,9.90,19.06,37.18,67.31,86.41,157.10,279.42,495.91,728.50,1124.58,1562.97,2715.48,3828.85,4702.60,5294.59,5648.73,5843.99,5946.47,5978.88,5556.18,5153.82
480332.out,9.89,1344.13,93.90,70.92,-,-,712,11,13,673,3670,SHM-TCP,2,1*cn481.scarf.rl.ac.uk-1*cn476.scarf.rl.ac.uk,scarf15-scarf15,1,0.00,0.10,0.20,0.41,0.79,1.57,3.17,6.28,12.27,23.89,45.82,83.99,125.74,201.62,316.71,457.74,462.75,634.32,813.51,591.23,656.05,796.85,786.68,465.32,261.24,131.83
480353.out,1.41,48.00,13.58,13.58,-,-,563,7,9,29,1560,SHM-IBV,2,1*cn215.scarf.rl.ac.uk-1*cn207.scarf.rl.ac.uk,scarf16-scarf16,1,0.00,0.66,1.33,2.61,5.25,10.22,19.90,38.47,68.46,89.04,160.06,280.98,498.05,726.48,1125.56,1562.02,2698.04,3831.31,4697.56,5296.44,5650.01,5847.92,5950.44,5974.13,5569.44,5479.55
