File Name,Latency,CPU time (sec.),Max Memory (MB),Average Memory (MB),Total Requested Memory (MB),Delta Memory (MB),Max Swap (MB),Max Processes,Max Threads,Run time (sec.),Turnaround time (sec.),Protocols Seen,Number of Hosts,Hosts Used,Host Groups,Exclusive,CPUs,0,1,2,4,8,16,32,64,128,256,512,1024,2048,4096,8192,16384,32768,65536,131072,262144,524288,1048576,2097152,4194304,8388608,16777216
484449.out,0.35,55.00,13.47,13.47,-,-,563,7,9,37,29,SHM,1,2*cn202.scarf.rl.ac.uk,scarf16,1,2,0.00,2.75,5.60,11.25,22.51,44.09,85.62,92.60,160.53,309.41,547.37,936.23,1306.85,1847.75,2580.87,2942.26,3923.20,5039.10,5376.82,5510.06,5741.05,5891.47,5944.27,5960.74,5946.70,4010.45
484445.out,0.33,55.27,13.46,13.46,-,-,563,7,9,30,29,SHM,1,2*cn210.scarf.rl.ac.uk,scarf16,1,2,0.00,2.76,5.61,11.17,22.34,44.29,88.31,97.12,165.72,319.95,560.94,944.43,1317.47,1848.17,2539.86,2775.07,3974.05,5019.08,5304.57,5415.71,5676.62,5805.90,5870.91,5898.11,5893.85,3944.21
484447.out,0.36,55.41,13.48,13.48,-,-,563,7,9,36,30,SHM,1,2*cn217.scarf.rl.ac.uk,scarf16,1,2,0.00,2.67,5.66,11.40,22.57,44.74,88.31,91.72,154.52,305.35,535.35,934.52,1292.62,1919.51,2580.56,2834.72,3800.07,5035.66,5280.18,5432.37,5658.83,5823.40,5850.91,5866.04,5876.41,3947.50
484446.out,0.18,70.00,13.46,13.46,-,-,563,7,9,49,36,SHM,1,2*cn209.scarf.rl.ac.uk,scarf16,1,1,0.00,4.61,10.51,20.96,41.91,81.79,166.78,306.04,399.53,735.37,1263.42,1808.39,1620.89,2173.81,2621.65,2631.33,3511.64,4362.23,4625.86,4822.52,4998.28,5118.97,5082.22,5130.19,3583.99,3296.23
484448.out,0.30,71.00,13.46,13.46,-,-,563,7,9,50,37,SHM,1,2*cn211.scarf.rl.ac.uk,scarf16,1,1,0.00,3.13,6.35,12.65,25.10,50.29,99.73,158.32,248.85,447.16,807.73,1291.71,1342.29,1805.50,2328.68,2410.92,3454.76,4411.97,4758.47,4811.58,5055.94,5049.12,5027.19,5038.23,3551.18,3255.69
484451.out,0.34,55.43,13.48,13.48,-,-,563,7,9,33,64,SHM,1,2*cn217.scarf.rl.ac.uk,scarf16,1,2,0.00,2.74,5.40,10.67,21.77,43.97,87.55,90.49,156.69,310.59,542.52,923.46,1381.22,1829.69,2560.60,2881.53,3851.15,5015.05,5319.37,5436.61,5646.47,5804.28,5849.66,5870.66,5867.31,3962.14
484450.out,0.24,71.00,13.46,13.46,-,-,563,7,9,41,87,SHM,1,2*cn210.scarf.rl.ac.uk,scarf16,1,1,0.00,3.87,7.72,15.44,30.89,62.02,123.31,242.77,292.40,557.43,1046.77,1583.91,1537.25,2095.68,2588.21,2680.79,3410.27,4368.01,4700.41,4896.63,5040.86,5116.74,5144.50,5140.97,3533.67,3260.37
484453.out,0.31,55.43,13.46,13.46,-,-,563,7,9,37,89,SHM,1,2*cn209.scarf.rl.ac.uk,scarf16,1,2,0.00,3.03,6.10,12.13,24.49,47.98,94.46,104.68,182.08,341.90,593.62,973.15,1250.40,1883.87,2582.29,2890.81,3857.55,4966.26,5294.61,5433.78,5641.87,5812.01,5866.50,5900.39,5921.54,3955.22
484452.out,0.20,69.00,13.46,13.46,-,-,563,7,9,35,95,SHM,1,2*cn202.scarf.rl.ac.uk,scarf16,1,1,0.00,4.55,8.89,18.48,37.30,74.07,147.13,262.03,364.41,672.58,1196.61,1713.45,1611.49,2206.30,2663.20,2644.50,3516.35,4559.74,4717.79,4942.66,5122.93,5213.28,5144.25,5111.53,3679.68,3343.09
484454.out,0.17,71.15,13.46,13.46,-,-,563,7,9,44,96,SHM,1,2*cn211.scarf.rl.ac.uk,scarf16,1,1,0.00,5.48,11.03,22.05,43.24,84.77,177.90,247.58,431.34,759.36,1242.34,1823.69,1579.49,1920.98,2629.54,2698.12,3475.10,4370.01,4612.73,4875.95,5028.13,5158.95,5107.45,5037.00,3531.26,3236.24
484435.out,0.35,55.13,13.47,13.47,-,-,563,7,9,31,4069,SHM,1,2*cn528.scarf.rl.ac.uk,scarf15,1,2,0.00,2.69,5.34,10.65,21.16,42.22,85.48,89.03,155.62,311.01,555.24,923.46,1351.59,1828.78,2579.65,2941.67,3926.37,4995.79,5308.87,5473.16,5680.69,5822.04,5889.62,5888.94,5909.22,4002.23
484437.out,0.30,55.45,13.46,13.46,-,-,563,7,9,37,4073,SHM,1,2*cn481.scarf.rl.ac.uk,scarf15,1,2,0.00,3.08,6.06,12.11,23.66,50.27,100.55,104.17,175.40,336.29,576.82,968.32,1235.04,1846.92,2493.19,2821.91,3787.88,5026.73,5259.50,5417.30,5644.55,5796.21,5830.92,5863.59,5846.10,3942.12
484436.out,0.25,70.22,13.46,13.46,-,-,563,7,9,37,4095,SHM,1,2*cn533.scarf.rl.ac.uk,scarf15,1,1,0.00,3.67,7.36,14.73,29.40,57.48,119.91,153.16,269.19,524.59,959.25,1558.90,1554.46,1866.80,2531.23,2566.11,3494.32,4292.41,4605.74,4839.94,5052.68,5126.21,5101.38,5107.28,3575.55,3290.24
484438.out,0.19,70.07,13.47,13.47,-,-,563,7,9,49,4134,SHM,1,2*cn528.scarf.rl.ac.uk,scarf15,1,1,0.00,4.72,9.42,19.08,38.35,76.69,151.12,267.22,379.12,693.53,1208.62,1759.45,1624.27,2146.89,2403.84,2731.63,3456.68,4460.81,4680.16,4871.55,5110.39,5177.60,5143.56,5120.39,3604.35,3282.61
484439.out,0.34,55.45,13.47,13.47,-,-,563,7,9,36,4141,SHM,1,2*cn481.scarf.rl.ac.uk,scarf15,1,2,0.00,2.69,5.43,10.95,21.61,43.04,88.22,86.75,152.61,299.20,534.17,916.02,1263.71,1970.30,2574.08,2871.17,3951.46,4951.67,5280.50,5420.34,5654.61,5812.13,5859.43,5858.12,5860.33,3938.16
484388.out,0.15,79.14,13.45,13.45,-,-,563,7,9,44,15028,SHM,1,2*cn071.scarf.rl.ac.uk,scarf10,1,1,0.00,7.12,13.97,20.03,60.32,105.61,218.80,331.82,543.81,1084.75,1835.95,2053.65,2250.24,3190.03,3822.01,3920.91,5431.57,6633.79,7502.58,7280.99,7210.13,7107.98,5433.03,4496.66,2918.71,2907.30
484391.out,0.33,75.00,13.45,13.45,-,-,563,7,9,38,15031,SHM,1,2*cn057.scarf.rl.ac.uk,scarf10,1,2,0.00,3.57,7.14,14.39,26.17,47.32,108.43,130.41,196.09,407.24,618.45,1087.48,1225.34,1616.50,2234.44,2548.55,3537.28,4213.99,4630.13,4515.25,4980.87,5024.81,5077.66,4133.37,3268.93,3206.85
484393.out,0.32,75.00,13.46,13.46,-,-,563,7,9,49,15077,SHM,1,2*cn065.scarf.rl.ac.uk,scarf10,1,2,0.00,3.06,6.68,14.31,28.67,56.81,105.22,135.02,214.36,438.26,687.13,1167.45,1292.11,1713.27,2280.70,2534.70,3463.39,4222.41,4584.12,4721.74,4861.30,5043.74,4947.01,4181.91,3254.60,3213.13
