File Name,Latency,CPU time (sec.),Max Memory (MB),Average Memory (MB),Total Requested Memory (MB),Delta Memory (MB),Max Swap (MB),Max Processes,Max Threads,Run time (sec.),Turnaround time (sec.),Protocols Seen,Number of Hosts,Hosts Used,Host Groups,Exclusive,0,1,2,4,8,16,32,64,128,256,512,1024,2048,4096,8192,16384,32768,65536,131072,262144,524288,1048576,2097152,4194304,8388608,16777216
481992.out,0.21,55.06,13.45,13.45,-,-,563,7,9,32,320,SHM,1,2*cn476.scarf.rl.ac.uk,scarf15,1,0.00,4.31,8.61,17.30,34.61,69.64,138.75,274.97,331.71,651.81,1136.83,1675.26,1724.63,2334.24,2597.23,2924.41,3744.33,4453.80,4748.43,5386.94,5624.93,5783.84,5832.56,5832.80,5852.06,3975.74
481993.out,0.20,57.47,13.46,13.46,-,-,563,7,9,39,393,SHM,1,2*cn476.scarf.rl.ac.uk,scarf15,1,0.00,4.49,8.97,17.92,35.81,71.31,143.58,282.56,342.93,657.04,1138.09,1736.33,1826.33,2296.45,2774.83,2744.85,3914.82,5021.29,5224.65,5368.72,5609.85,5761.66,5803.60,5827.42,5818.94,3955.71
481994.out,0.22,55.00,13.46,13.46,-,-,563,7,9,38,448,SHM,1,2*cn476.scarf.rl.ac.uk,scarf15,1,0.00,4.11,8.22,16.44,32.67,65.37,130.95,250.12,322.93,613.36,1065.00,1632.85,1690.99,2190.23,2699.07,2855.47,3544.88,4776.63,5198.82,5370.00,5601.43,5775.85,5833.56,5865.38,5866.85,3977.55
481995.out,0.21,58.48,13.41,13.41,-,-,562,7,9,40,505,SHM,1,2*cn476.scarf.rl.ac.uk,scarf15,1,0.00,4.30,8.61,17.18,34.76,69.49,138.68,273.65,332.58,640.80,1131.49,1686.64,1742.24,2295.16,2737.85,2756.22,3878.62,4980.65,5278.16,5435.67,5626.76,5779.01,5846.61,5860.37,5846.38,3972.37
481996.out,0.20,58.33,13.46,13.46,-,-,563,7,9,42,563,SHM,1,2*cn476.scarf.rl.ac.uk,scarf15,1,0.00,4.58,9.06,18.35,36.68,74.07,147.47,281.32,361.07,681.76,1189.31,1777.01,1777.20,2013.02,2469.98,2863.02,3933.03,4941.08,5268.46,5383.11,5612.46,5758.69,5809.42,5843.83,5839.75,3976.84
482007.out,0.29,55.00,13.45,13.45,-,-,563,7,9,37,864,SHM,1,2*cn203.scarf.rl.ac.uk,scarf16,1,0.00,3.14,6.34,12.71,25.35,50.43,103.43,206.95,244.86,472.22,813.02,1343.39,1341.52,1879.76,2339.82,2494.00,3501.60,4511.21,5011.43,5393.40,5614.76,5752.42,5819.06,5839.17,5882.05,3968.20
482008.out,0.28,57.00,13.45,13.45,-,-,563,7,9,42,908,SHM,1,2*cn203.scarf.rl.ac.uk,scarf16,1,0.00,3.26,6.50,13.15,26.08,52.33,103.27,215.31,256.19,491.24,858.88,1377.27,1452.74,1959.57,2363.53,2609.85,3379.32,4697.12,5265.60,5410.97,5611.95,5766.27,5827.63,5858.95,5853.52,3806.90
482009.out,0.20,59.00,13.43,13.43,-,-,562,7,9,33,1266,SHM,1,2*cn217.scarf.rl.ac.uk,scarf16,1,0.00,4.43,8.87,17.71,35.50,69.83,142.22,278.56,339.07,672.58,1163.97,1704.18,1761.91,2283.64,2752.34,2579.24,3773.70,5063.97,5284.07,5409.55,5615.55,5778.94,5843.01,5882.29,5846.34,3972.58
481982.out,9.07,1293.00,93.65,72.61,-,-,712,11,13,656,1447,SHM-TCP,2,1*cn486.scarf.rl.ac.uk-1*cn512.scarf.rl.ac.uk,scarf15-scarf15,1,0.00,0.11,0.21,0.43,0.82,1.64,3.27,6.46,12.71,24.68,46.83,86.42,127.93,200.38,328.30,458.76,475.10,641.30,816.64,573.38,649.55,708.67,847.44,517.26,250.51,138.09
481962.out,0.15,98.52,13.45,13.45,-,-,563,7,9,54,1566,SHM,1,2*cn393.scarf.rl.ac.uk,scarf13,1,0.00,5.71,11.74,23.48,46.51,91.89,183.38,264.74,408.13,764.18,1305.29,1796.89,1931.85,2655.64,3158.51,3278.77,3635.18,3320.21,3612.19,3744.76,3831.84,3886.94,3911.48,3921.28,2430.29,2404.40
